Wafer ID,Lot Number,Fab ID,Process Code,Wafer Orientation,Wafer Polish Date,Wafer Clean Level,Wafer Edge Exclusion (mm),Die ID,Die Center X (mm),Die Center Y (mm),Die Rotation (deg),Test Date,Test Program ID,Tester ID,Probe Card ID,Ambient Temperature (°C),Ambient Humidity (%),Chamber Temperature (°C),Chamber Pressure (Torr),Threshold Voltage (V),On-Resistance (mΩ),Off-State Leakage (nA),Source-Drain Leakage (A),Gate-Drain Capacitance (pF),Param Pass/Fail,Test Result,Defect Radius (mm),Defect Angle (deg),Sector ID,Neighbor Fail Count,Local Defect Density (defects/cm²),Process Step ID,Chemical Lot ID,Cleanroom Class,Die Width (mm),Die Height (mm),Wafer Diameter (mm)
abcf0683,L93810,F2,N7,Notch,2025-07-08,RCA,2.0,D001,-33.0,-143.0,0.27395604855596334,2025-07-13,TPR-646,T-B1,PC-4697,23.12323620982131,41.8551215484899,191.4668134683286,4.860273517067509,0.6816937403460508,96.74629079836653,2.873547480515082,2.3387986376765993e-09,0.09906258182673723,False,Fail,146.75830470538966,257.0053832080835,9,3,0.12,LITH,CL483,ISO5,10.0,10.0,300.0
abcf0683,L93810,F2,N7,Notch,2025-07-08,RCA,2.0,D002,-22.0,-143.0,-0.06112156024794768,2025-07-11,TPR-229,T-C5,PC-4814,22.983868664711082,47.88963035877509,197.7079586272342,4.622120482425216,0.619910049668715,139.02906591668153,2.2702157260745652,3.5625334308458508e-09,0.12315165054001403,False,Fail,144.68241081762497,261.25383773744477,9,3,0.12,LITH,CL500,ISO5,10.0,10.0,300.0
abcf0683,L93810,F2,N7,Notch,2025-07-08,RCA,2.0,D003,-11.0,-143.0,0.35859791991138246,2025-07-09,TPR-380,T-B5,PC-1860,22.87776410619946,54.755951122127456,204.24258052694253,4.780107622643899,0.6632810212127869,122.59809824656885,1.7205777214201778,9.964148866146064e-09,0.11824220822145193,False,Fail,143.42245291445826,265.6012946450045,9,3,0.12,LITH,CL574,ISO5,10.0,10.0,300.0
abcf0683,L93810,F2,N7,Notch,2025-07-08,RCA,2.0,D004,0.0,-143.0,0.1973680290593639,2025-07-28,TPR-146,T-A1,PC-2641,23.05560134338454,45.14903918647927,207.72948239889325,5.20326464050814,0.6426720974058289,118.36045384528494,1.292776604313591,2.137091397437882e-09,0.116150735566414,False,Fail,143.0,270.0,10,3,0.12,LITH,CL890,ISO5,10.0,10.0,300.0
abcf0683,L93810,F2,N7,Notch,2025-07-08,RCA,2.0,D005,11.0,-143.0,-0.40582265211235047,2025-07-03,TPR-155,T-C4,PC-7771,23.464659809173963,55.04657828867106,201.2003575632104,5.446357229098478,0.6875647434971697,97.24264826986001,3.727461198065213,1.6550046088485247e-09,0.12220558823506322,False,Fail,143.42245291445826,274.3987053549955,10,3,0.12,LITH,CL795,ISO5,10.0,10.0,300.0
abcf0683,L93810,F2,N7,Notch,2025-07-08,RCA,2.0,D006,22.0,-143.0,0.4756223516367559,2025-07-31,TPR-666,T-C3,PC-6411,23.667147564248857,50.08357208781628,198.53647917789257,5.145279302639792,0.6351551061033633,118.86829645916139,1.8434566517954831,8.4960314775265e-09,0.1393337001051748,False,Fail,144.68241081762497,278.74616226255523,10,3,0.12,LITH,CL702,ISO5,10.0,10.0,300.0
abcf0683,L93810,F2,N7,Notch,2025-07-08,RCA,2.0,D007,33.0,-143.0,0.26113970199035297,2025-07-25,TPR-399,T-C4,PC-8739,23.52557102927608,55.00531975896466,203.78559184337223,4.981591492275794,0.6391419633267441,121.2659558960992,12.556984380069938,4.896969892445525e-09,0.14482792276042053,False,Fail,146.75830470538966,282.9946167919165,10,3,0.12,LITH,CL807,ISO5,10.0,10.0,300.0
abcf0683,L93810,F2,N7,Notch,2025-07-08,RCA,2.0,D008,-66.0,-132.0,0.2860643052769538,2025-07-09,TPR-814,T-A2,PC-2647,23.117232361285144,49.29359275714659,204.34351337615843,4.913608124869216,0.6660417743354011,114.71575032965772,1.567227063068399,1.3123015296179227e-09,0.119758724459294,False,Fail,147.58048651498612,243.43494882292202,9,3,0.12,LITH,CL612,ISO5,10.0,10.0,300.0
abcf0683,L93810,F2,N7,Notch,2025-07-08,RCA,2.0,D009,-55.0,-132.0,-0.3718863673244541,2025-07-12,TPR-229,T-A1,PC-3252,23.950092282009983,47.358086804436354,198.20169160666347,4.808700837284728,0.6828176504979884,106.61619599526223,1.4627388574906406,1.9264486460973963e-09,0.1179978639181249,False,Fail,143.0,247.38013505195957,9,4,0.16,LITH,CL254,ISO5,10.0,10.0,300.0
abcf0683,L93810,F2,N7,Notch,2025-07-08,RCA,2.0,D010,-44.0,-132.0,-0.049614062104432866,2025-07-21,TPR-753,T-B4,PC-1084,23.869706336150475,44.38378432957265,201.65153656088773,5.4119531798679485,0.6561690696293504,106.02312564496043,3.534117014911492,2.3170637665820875e-09,0.1106493546660775,False,Fail,139.1402170474087,251.56505117707798,9,3,0.12,LITH,CL453,ISO5,10.0,10.0,300.0
abcf0683,L93810,F2,N7,Notch,2025-07-08,RCA,2.0,D011,-33.0,-132.0,-0.12920197576741876,2025-07-17,TPR-989,T-A1,PC-3587,23.42017584628899,44.1675868287003,205.90263631205985,4.962250259627125,0.6449622368102322,139.229483585866,5.8302521882084575,2.652688663789924e-09,0.12522764974372816,False,Fail,136.0624856453828,255.96375653207352,9,4,0.16,LITH,CL125,ISO5,10.0,10.0,300.0
abcf0683,L93810,F2,N7,Notch,2025-07-08,RCA,2.0,D012,-22.0,-132.0,0.4267649888486018,2025-07-13,TPR-870,T-A5,PC-7666,23.173541927667642,55.02981621142792,209.45229496637225,5.423125966012501,0.6337802873135079,120.97602186675223,2.7892302648257523,4.676970880774274e-10,0.12174061750809415,True,Pass,133.82077566656082,260.5376777919744,9,3,0.12,LITH,CL594,ISO5,10.0,10.0,300.0
abcf0683,L93810,F2,N7,Notch,2025-07-08,RCA,2.0,D013,-11.0,-132.0,0.14386512008066454,2025-07-22,TPR-602,T-A4,PC-8793,23.7742139604149,42.37820696067921,203.71302479617646,5.278703901922012,0.6575236872847544,114.70727833989844,3.638623640138749,4.0487221321637217e-10,0.1081648342142222,True,Pass,132.45754036671525,265.23635830927384,9,2,0.08,LITH,CL207,ISO5,10.0,10.0,300.0
