Wafer ID,Lot Number,Fab ID,Process Code,Wafer Polish Date,Wafer Edge Exclusion (mm),DieID,DieCenterX_mm,DieCenterY_mm,dist_from_center_mm,Test Date,Test Program ID,Tester ID,Probe Card ID,Vth_V,RON_mOhm,AmbientTemp_C,AmbientHumidity_%,Ioff_nA,Idss_A,Cgd_pF,Process Step ID,ChamberTemperature_C,ChamberPressure_Torr,Cleanroom Class,Chemical Lot ID,PhysicalDefect,Param Pass/Fail,Test Result,Defect Type,DefectAngle_deg,SectorID,NeighborFailCount,LocalDefectDensity (defects/cm^2),Defect Radius (mm),WaferOrientation
b372e9ef,L93810,F2,N7,2025-07-08,2.0,D0001,-33.0,-143.0,146.75830470538966,2025-07-08,TPR-954,T-C5,PC-2311,0.642638038018242,124.96713913529214,24.321007580068184,40.248080725546295,2.259266379466436,8.143846591214692e-10,0.11046751880769962,LITH,207.59359176358396,5.076061368480309,ISO6,CL986,None,True,Pass,None,257.0053832080835,9,1,1.0,146.75830470538966,Notch
b372e9ef,L93810,F2,N7,2025-07-08,2.0,D0002,-22.0,-143.0,144.68241081762497,2025-07-05,TPR-478,T-B1,PC-6372,0.6699027197359957,126.4769117607009,24.004908544671316,49.37535930929012,2.8043054323350267,6.532128156898683e-10,0.09872578543344276,LITH,203.29196255961244,4.814415740109671,ISO6,CL220,None,True,Pass,None,261.25383773744477,9,2,2.0,144.68241081762497,Notch
b372e9ef,L93810,F2,N7,2025-07-08,2.0,D0003,-11.0,-143.0,143.42245291445826,2025-07-24,TPR-696,T-A3,PC-5843,0.6482861737735748,117.65846219739099,23.155924827411138,46.02530521520001,3.792151028783292,4.3262412079389835e-09,0.1091653247980058,CMP,190.69776000037848,4.881865087623029,ISO6,CL894,None,False,Fail,Parametric,265.6012946450045,9,2,2.0,143.42245291445826,Notch
b372e9ef,L93810,F2,N7,2025-07-08,2.0,D0004,0.0,-143.0,143.0,2025-07-04,TPR-665,T-A3,PC-6021,0.647500170599922,135.79214144743622,24.626217902672153,51.96714968595518,2.672067843754515,3.9015540815067236e-10,0.11268930859534756,IMPL,204.32121807367113,4.8853320321568106,ISO6,CL931,None,True,Pass,None,270.0,10,1,1.0,143.0,Notch
b372e9ef,L93810,F2,N7,2025-07-08,2.0,D0005,11.0,-143.0,143.42245291445826,2025-07-22,TPR-251,T-A3,PC-8305,0.6640921641626307,115.30526553809193,23.990882743495796,45.944756154172346,1.3083046323407086,7.976500271804602e-10,0.1135509876390832,LITH,197.14312873791363,4.944702048882649,ISO6,CL342,None,True,Pass,None,274.3987053549955,10,1,1.0,143.42245291445826,Notch
b372e9ef,L93810,F2,N7,2025-07-08,2.0,D0006,22.0,-143.0,144.68241081762497,2025-07-24,TPR-540,T-A5,PC-7981,0.6465675229395781,115.36581500519024,23.337584308245688,45.9983822301397,1.519276914391329,1.5528643777397826e-09,0.113865084237047,CMP,200.98281773821233,5.271716573923566,ISO6,CL314,None,False,Fail,Parametric,278.74616226255523,10,3,3.0,144.68241081762497,Notch
b372e9ef,L93810,F2,N7,2025-07-08,2.0,D0007,33.0,-143.0,146.75830470538966,2025-07-29,TPR-230,T-A3,PC-3730,0.6144414172359104,122.41958957660451,22.250297142563213,54.86386397463207,4.310355179015401,2.4939163387506134e-09,0.13446343071896952,CVD,205.0400200214663,4.92916424889286,ISO6,CL930,None,False,Fail,Parametric,282.9946167919165,10,2,2.0,146.75830470538966,Notch
b372e9ef,L93810,F2,N7,2025-07-08,2.0,D0008,-66.0,-132.0,147.58048651498612,2025-07-18,TPR-142,T-A1,PC-8272,0.6575101341208051,102.75081193577037,24.645471286295372,40.96285671956707,6.487306596640204,8.33976731563141e-10,0.12679762949206308,LITH,197.25197707667584,4.7712881080469,ISO6,CL855,None,True,Pass,None,243.43494882292202,9,0,0.0,147.58048651498612,Notch
b372e9ef,L93810,F2,N7,2025-07-08,2.0,D0009,-55.0,-132.0,143.0,2025-07-03,TPR-415,T-C3,PC-6759,0.6655712596073612,109.8716942396053,22.805213766618202,58.05789990383974,5.388819141413506,1.5771514505177257e-10,0.11688011150147004,CMP,191.77203692979094,5.108329137570118,ISO6,CL702,None,True,Pass,None,247.38013505195957,9,0,0.0,143.0,Notch
b372e9ef,L93810,F2,N7,2025-07-08,2.0,D0010,-44.0,-132.0,139.1402170474087,2025-07-19,TPR-473,T-C2,PC-8325,0.6346184747935748,110.91973478293492,22.677300626521554,57.045277487823626,3.0483869706511943,9.159114064447223e-10,0.14697360374052393,CMP,207.52772595952914,5.269328686286896,ISO6,CL805,None,True,Pass,None,251.56505117707798,9,1,1.0,139.1402170474087,Notch
b372e9ef,L93810,F2,N7,2025-07-08,2.0,D0011,-33.0,-132.0,136.0624856453828,2025-07-14,TPR-915,T-C4,PC-1693,0.6314329120159531,134.6564837786255,24.01128521600482,53.35609366452813,1.3410581885539776,4.512096162758282e-09,0.11556313766931381,IMPL,205.82291735600973,4.747757629629538,ISO6,CL459,None,False,Fail,Parametric,255.96375653207352,9,3,3.0,136.0624856453828,Notch
b372e9ef,L93810,F2,N7,2025-07-08,2.0,D0012,-22.0,-132.0,133.82077566656082,2025-07-02,TPR-981,T-A1,PC-6776,0.6246473781395866,120.67525736946641,24.719876203169637,51.86443140214769,2.808878664801737,1.6258594078961187e-09,0.12358969923137858,CMP,199.56371993408527,5.394562150943618,ISO6,CL981,None,False,Fail,Parametric,260.5376777919744,9,4,4.0,133.82077566656082,Notch
b372e9ef,L93810,F2,N7,2025-07-08,2.0,D0013,-11.0,-132.0,132.45754036671525,2025-07-01,TPR-140,T-C3,PC-8126,0.6573650772663618,114.55617467599579,24.19213640925526,57.846049962793046,7.085972825274919,1.4973350014805096e-09,0.1329546798542762,LITH,204.26710725746057,5.083035320464615,ISO6,CL827,None,False,Fail,Parametric,265.23635830927384,9,4,4.0,132.45754036671525,Notch
b372e9ef,L93810,F2,N7,2025-07-08,2.0,D0014,0.0,-132.0,132.0,2025-07-03,TPR-466,T-B4,PC-5498,0.6680172443575555,108.49007073308782,23.78195456002618,43.70660359057429,3.9731199396966708,3.9685645781936487e-10,0.13815243111639933,ETCH,198.15306633968157,5.2067781578136785,ISO6,CL724,None,True,Pass,None,270.0,10,2,2.0,132.0,Notch
b372e9ef,L93810,F2,N7,2025-07-08,2.0,D0015,11.0,-132.0,132.45754036671525,2025-07-07,TPR-315,T-B3,PC-1939,0.6509541260217548,113.99360804852691,23.797377170832643,41.57938324381657,2.421615311314935,3.585220137477057e-10,0.10615655986618992,CVD,200.48485088380426,5.293414327008663,ISO6,CL747,None,True,Pass,None,274.76364169072616,10,1,1.0,132.45754036671525,Notch
